#./test/main/nbody-simulation --engine=block \
#--solver=rkdp --stars_count=256 --verbose=1 --block_size=32 --max_time=300 \
#--max_step=1e-5 \
#--min_step=1e-9 \
#--check_step=0.3 \
#--dump_step=0.03 \
#--error_threshold=1e-6 \
#--check_list=PLVE \
#--output=nbody/512-300-1e-5-rkdp 2>nbody512-300-1e-5-rkdp.txt
T	CC	SC	dP	dL	dE
0.3	210000	210000	0	0	0
0.6	420000	210000	2.009E-09	5.792E-12	2.607E-12
0.9	630000	210000	1.132E-08	4.763E-12	6.11E-14
1.2	840000	210000	2.483E-08	9.557E-12	5.499E-12
1.5	1050000	210000	2.441E-08	9.704E-12	3.992E-12
1.8	1260000	210000	2.299E-08	8.542E-12	4.786E-12
2.1	1470000	210000	3.09E-08	1.202E-11	8.289E-12
2.4	1680000	210000	3.288E-08	1.149E-11	1.752E-12
2.7	1890000	210000	2.757E-08	9.499E-12	5.499E-12
3	2100000	210000	1.822E-08	4.362E-12	2.261E-12
3.3	2310000	210000	1.648E-08	3.96E-12	2.729E-12
3.6	2520000	210000	1.402E-08	4.597E-12	2.831E-12
3.9	2730000	210000	1.314E-08	4.563E-12	2.851E-12
4.2	2940000	210000	1.884E-08	5.015E-12	8.31E-12
4.5	3150000	210000	2.566E-08	6.232E-12	5.031E-12
4.8	3360000	210000	2.355E-08	3.906E-12	2.526E-12
5.1	3570000	210000	2.129E-08	4.987E-12	4.888E-13
5.4	3780000	210000	1.875E-08	6.622E-12	1.214E-11
5.7	3990000	210000	2.001E-08	5.759E-12	1.591E-11
6	4200000	210000	2.864E-08	1.073E-11	1.124E-11
6.3	4410000	210000	3.044E-08	1.59E-11	8.106E-12
6.6	4620000	210000	2.983E-08	1.464E-11	6.375E-12
6.9	4830000	210000	3.176E-08	1.252E-11	5.886E-12
7.2	5040000	210000	3.67E-08	1.389E-11	6.273E-12
7.5	5250000	210000	3.782E-08	1.392E-11	3.198E-12
7.8	5460000	210000	3.625E-08	1.429E-11	1.055E-11
8.1	5670000	210000	3.668E-08	1.615E-11	1.024E-11
8.4	5880000	210000	3.532E-08	1.672E-11	1.265E-11
8.7	6090000	210000	3.278E-08	1.361E-11	1.167E-11
9	6300000	210000	3.066E-08	1.25E-11	1.226E-11
9.3	6510000	210000	2.88E-08	1.607E-11	1.768E-11
9.6	6720000	210000	2.922E-08	1.71E-11	1.326E-11
9.9	6930000	210000	2.871E-08	1.835E-11	1.424E-11
10.2	7140000	210000	2.599E-08	1.679E-11	2.069E-11
10.5	7350000	210000	2.75E-08	1.711E-11	2.285E-11
10.8	7560000	210000	3.145E-08	1.492E-11	1.898E-11
11.1	7770000	210000	3.207E-08	9.767E-12	1.499E-11
11.4	7980000	210000	3.302E-08	8.588E-12	1.216E-11
11.7	8190000	210000	3.339E-08	1.054E-11	1.511E-11
12	8400000	210000	3.832E-08	1.398E-11	1.664E-11
12.3	8610000	210000	4.467E-08	1.861E-11	1.79E-11
12.6	8820000	210000	3.912E-08	1.559E-11	1.699E-11
12.9	9030000	210000	3.364E-08	1.386E-11	2.601E-11
13.2	9240000	210000	3.44E-08	1.23E-11	1.363E-11
13.5	9450000	210000	3.588E-08	1.625E-11	2.033E-11
13.8	9660000	210000	3.174E-08	1.527E-11	2.271E-11
14.1	9870000	210000	3.086E-08	1.709E-11	1.633E-11
14.4	10080000	210000	3.262E-08	1.6E-11	9.878E-12
14.7	10290000	210000	3.307E-08	2.08E-11	1.222E-11
15	10500000	210000	3.747E-08	2.025E-11	1.603E-11
15.3	10710000	210000	4.051E-08	2.157E-11	1.992E-11
15.6	10920000	210000	4.236E-08	2.534E-11	2.139E-11
15.9	11130000	210000	3.688E-08	2.071E-11	1.58E-11
16.2	11340000	210000	3.453E-08	2.489E-11	1.334E-11
16.5	11550000	210000	2.784E-08	1.861E-11	1.67E-11
16.8	11760000	210000	2.784E-08	1.55E-11	9.898E-12
17.1	11970000	210000	2.58E-08	2.385E-11	1.662E-11
17.4	12180000	210000	3.334E-08	2.686E-11	2.424E-11
17.7	12390000	210000	3.911E-08	3.504E-11	2.53E-11
18	12600000	210000	3.992E-08	3.714E-11	2.75E-11
18.3	12810000	210000	3.957E-08	4.455E-11	3.328E-11
18.6	13020000	210000	4.176E-08	4.237E-11	2.473E-11
18.9	13230000	210000	4.077E-08	4.026E-11	2.049E-11
19.2	13440000	210000	4.07E-08	4.311E-11	2.273E-11
19.5	13650000	210000	4.314E-08	5.36E-11	2.876E-11
19.8	13860000	210000	5.361E-08	5.791E-11	1.823E-11
20.1	14070000	210000	6.643E-08	6.637E-11	2.888E-11
20.4	14280000	210000	7.272E-08	7.085E-11	2.644E-11
20.7	14490000	210000	7.678E-08	6.843E-11	2.118E-11
21	14700000	210000	7.719E-08	7.703E-11	2.381E-11
21.3	14910000	210000	8.223E-08	7.682E-11	3.263E-11
21.6	15120000	210000	8.89E-08	7.513E-11	2.322E-11
21.9	15330000	210000	9.219E-08	9.025E-11	2.163E-11
22.2	15540000	210000	1.106E-07	9.278E-11	9.532E-12
22.5	15835848	295848	9.922E-08	1.085E-10	7.991E-10
22.8	16045848	210000	8.002E-08	1.027E-10	8.189E-10
23.1	16255848	210000	7.88E-08	1.026E-10	7.909E-10
23.4	16465848	210000	8.487E-08	1.055E-10	7.998E-10
23.7	16675848	210000	7.589E-08	1.004E-10	8.172E-10
24	16885848	210000	7.721E-08	9.084E-11	8.233E-10
24.3	17095848	210000	7.634E-08	9.019E-11	8.311E-10
24.6	17305848	210000	7.076E-08	8.929E-11	8.125E-10
24.9	17515848	210000	5.442E-08	8.348E-11	8.286E-10
25.2	17725848	210000	4.848E-08	8.61E-11	8.317E-10
25.5	17935848	210000	3.913E-08	9.424E-11	8.143E-10
25.8	18664408	728560	2.374E-06	2.104E-09	3.109E-08
26.1	18874408	210000	2.404E-06	2.114E-09	3.108E-08
26.4	19092976	218568	2.407E-06	2.112E-09	3.113E-08
26.7	19302976	210000	2.426E-06	2.117E-09	3.111E-08
