#./test/main/nbody-simulation --engine=block \
#--solver=rkdp --stars_count=256 --verbose=1 --block_size=32 --max_time=300 \
#--max_step=1e-4 \
#--min_step=1e-9 \
#--check_step=0.3 \
#--dump_step=0.03 \
#--error_threshold=1e-6 \
#--check_list=PLVE \
#--output=nbody/512-300-1e-4-rkdp 2>nbody512-300-1e-4-rkdp.txt
T	CC	SC	dP	dL	dE
29.1	2690968	26656	1.3E-06	1.734E-09	1.357E-08
29.4	2711968	21000	1.298E-06	1.735E-09	1.355E-08
29.7	2732968	21000	1.297E-06	1.744E-09	1.36E-08
30	2758952	25984	1.302E-06	1.739E-09	1.365E-08
30.3	2779952	21000	1.306E-06	1.739E-09	1.361E-08
30.6	2807392	27440	1.306E-06	1.74E-09	1.366E-08
30.9	2834720	27328	1.29E-06	1.735E-09	1.365E-08
31.2	2855720	21000	1.276E-06	1.737E-09	1.363E-08
31.5	2882264	26544	1.283E-06	1.735E-09	1.362E-08
31.8	2903264	21000	1.266E-06	1.732E-09	1.364E-08
32.1	2924264	21000	1.268E-06	1.73E-09	1.361E-08
32.4	2974328	50064	1.266E-06	1.739E-09	1.362E-08
32.7	2995328	21000	1.261E-06	1.741E-09	1.363E-08
33	3016328	21000	1.259E-06	1.743E-09	1.363E-08
33.3	3048696	32368	1.249E-06	1.738E-09	1.364E-08
33.6	3076080	27384	1.243E-06	1.736E-09	1.363E-08
33.9	3130344	54264	1.243E-06	1.739E-09	1.365E-08
34.2	3184776	54432	1.248E-06	1.739E-09	1.362E-08
34.5	3227168	42392	1.247E-06	1.738E-09	1.359E-08
34.8	3248168	21000	1.241E-06	1.737E-09	1.36E-08
35.1	3269168	21000	1.239E-06	1.737E-09	1.36E-08
35.4	3296552	27384	1.231E-06	1.734E-09	1.361E-08
35.7	3317552	21000	1.232E-06	1.735E-09	1.362E-08
36	3372096	54544	1.23E-06	1.732E-09	1.36E-08
36.3	3393096	21000	1.232E-06	1.732E-09	1.36E-08
36.6	3414096	21000	1.24E-06	1.733E-09	1.361E-08
36.9	3440920	26824	1.24E-06	1.735E-09	1.36E-08
37.2	4121264	680344	3.141E-06	5.536E-09	1.442E-08
37.5	4148760	27496	3.144E-06	5.536E-09	1.443E-08
37.8	4204592	55832	3.158E-06	5.543E-09	1.436E-08
38.1	4225592	21000	3.156E-06	5.544E-09	1.437E-08
38.4	4246592	21000	3.155E-06	5.543E-09	1.437E-08
38.7	4267592	21000	3.157E-06	5.544E-09	1.438E-08
39	4288592	21000	3.155E-06	5.544E-09	1.437E-08
39.3	4332272	43680	3.158E-06	5.547E-09	1.438E-08
39.6	4388440	56168	3.147E-06	5.546E-09	1.441E-08
39.9	4409440	21000	3.146E-06	5.545E-09	1.441E-08
40.2	4900560	491120	2.934E-06	6.261E-09	1.875E-08
40.5	4927272	26712	2.929E-06	6.258E-09	1.876E-08
40.8	4948272	21000	2.925E-06	6.257E-09	1.875E-08
41.1	4969272	21000	2.919E-06	6.256E-09	1.876E-08
41.4	5036472	67200	2.918E-06	6.256E-09	1.875E-08
41.7	5057472	21000	2.923E-06	6.258E-09	1.875E-08
42	5078472	21000	2.92E-06	6.255E-09	1.875E-08
42.3	5099472	21000	2.92E-06	6.254E-09	1.876E-08
42.6	5120472	21000	2.92E-06	6.253E-09	1.875E-08
42.9	5141976	21504	2.92E-06	6.253E-09	1.875E-08
43.2	5286624	144648	2.93E-06	6.304E-09	1.864E-08
43.5	5307624	21000	2.93E-06	6.303E-09	1.864E-08
43.8	5328624	21000	2.928E-06	6.301E-09	1.864E-08
44.1	5371520	42896	2.926E-06	6.304E-09	1.864E-08
44.4	5392520	21000	2.925E-06	6.304E-09	1.864E-08
44.7	5446616	54096	2.93E-06	6.309E-09	1.866E-08
45	5474000	27384	2.93E-06	6.31E-09	1.866E-08
45.3	5501384	27384	2.927E-06	6.309E-09	1.866E-08
45.6	5522384	21000	2.927E-06	6.31E-09	1.866E-08
45.9	5543384	21000	2.924E-06	6.309E-09	1.866E-08
46.2	5619432	76048	2.919E-06	6.308E-09	1.866E-08
46.5	5673584	54152	2.916E-06	6.305E-09	1.865E-08
46.8	5694584	21000	2.918E-06	6.307E-09	1.865E-08
47.1	5722024	27440	2.918E-06	6.305E-09	1.865E-08
47.4	5743024	21000	2.914E-06	6.304E-09	1.864E-08
47.7	5769568	26544	2.912E-06	6.304E-09	1.865E-08
48	5790568	21000	2.912E-06	6.305E-09	1.865E-08
48.3	5844832	54264	2.915E-06	6.305E-09	1.861E-08
48.6	5882016	37184	2.912E-06	6.302E-09	1.861E-08
48.9	5909456	27440	2.911E-06	6.303E-09	1.861E-08
49.2	5936840	27384	2.911E-06	6.303E-09	1.861E-08
49.5	6003872	67032	2.91E-06	6.307E-09	1.861E-08
49.8	6024872	21000	2.911E-06	6.307E-09	1.861E-08
50.1	6079360	54488	2.91E-06	6.305E-09	1.86E-08
50.4	6100360	21000	2.91E-06	6.306E-09	1.86E-08
50.7	6121360	21000	2.911E-06	6.306E-09	1.86E-08
51	6148744	27384	2.911E-06	6.306E-09	1.86E-08
51.3	6175120	26376	2.911E-06	6.308E-09	1.859E-08
51.6	6198864	23744	2.911E-06	6.308E-09	1.86E-08
51.9	6253408	54544	2.911E-06	6.306E-09	1.862E-08
52.2	6274408	21000	2.911E-06	6.306E-09	1.862E-08
52.5	6328000	53592	2.911E-06	6.306E-09	1.865E-08
52.8	6355384	27384	2.911E-06	6.304E-09	1.865E-08
53.1	6382600	27216	2.91E-06	6.302E-09	1.865E-08
53.4	6419672	37072	2.91E-06	6.303E-09	1.865E-08
53.7	6474216	54544	2.91E-06	6.304E-09	1.86E-08
54	6495216	21000	2.911E-06	6.304E-09	1.86E-08
54.3	6516216	21000	2.91E-06	6.304E-09	1.86E-08
54.6	6548192	31976	2.91E-06	6.304E-09	1.86E-08
54.9	6569192	21000	2.91E-06	6.305E-09	1.86E-08
55.2	6590192	21000	2.91E-06	6.304E-09	1.86E-08
55.5	6677216	87024	2.909E-06	6.306E-09	1.862E-08
55.8	6698216	21000	2.909E-06	6.307E-09	1.862E-08
56.1	6719216	21000	2.909E-06	6.305E-09	1.862E-08
56.4	6743576	24360	2.909E-06	6.304E-09	1.862E-08
56.7	6776728	33152	2.909E-06	6.307E-09	1.862E-08
57	6808032	31304	2.91E-06	6.305E-09	1.862E-08
57.3	6862632	54600	2.91E-06	6.304E-09	1.863E-08
57.6	6883632	21000	2.91E-06	6.304E-09	1.862E-08
57.9	6920760	37128	2.91E-06	6.306E-09	1.863E-08
58.2	6946744	25984	2.91E-06	6.307E-09	1.863E-08
58.5	7006664	59920	2.91E-06	6.307E-09	1.864E-08
58.8	7027664	21000	2.909E-06	6.308E-09	1.864E-08
59.1	7082264	54600	2.91E-06	6.307E-09	1.867E-08
59.4	7103264	21000	2.909E-06	6.307E-09	1.867E-08
59.7	7124264	21000	2.909E-06	6.308E-09	1.867E-08
60	7145264	21000	2.909E-06	6.307E-09	1.867E-08
60.3	7171136	25872	2.91E-06	6.307E-09	1.867E-08
60.6	7193592	22456	2.91E-06	6.307E-09	1.867E-08
60.9	7253904	60312	2.91E-06	6.307E-09	1.865E-08
61.2	7274904	21000	2.909E-06	6.308E-09	1.865E-08
61.5	7328216	53312	2.909E-06	6.309E-09	1.866E-08
61.8	7353864	25648	2.908E-06	6.311E-09	1.867E-08
62.1	7374864	21000	2.908E-06	6.312E-09	1.867E-08
62.4	7407568	32704	2.908E-06	6.312E-09	1.867E-08
62.7	7469112	61544	2.908E-06	6.314E-09	1.87E-08
63	7490112	21000	2.908E-06	6.312E-09	1.869E-08
63.3	7511112	21000	2.907E-06	6.313E-09	1.87E-08
63.6	7532112	21000	2.908E-06	6.313E-09	1.87E-08
63.9	7553112	21000	2.907E-06	6.312E-09	1.87E-08
64.2	7580384	27272	2.907E-06	6.313E-09	1.87E-08
64.5	7634816	54432	2.909E-06	6.313E-09	1.87E-08
64.8	7692552	57736	2.91E-06	6.315E-09	1.872E-08
65.1	7717808	25256	2.909E-06	6.316E-09	1.872E-08
65.4	7738808	21000	2.908E-06	6.315E-09	1.872E-08
65.7	7759808	21000	2.908E-06	6.314E-09	1.872E-08
66	7780808	21000	2.908E-06	6.312E-09	1.871E-08
66.3	7841456	60648	2.906E-06	6.314E-09	1.867E-08
66.6	7862456	21000	2.907E-06	6.313E-09	1.867E-08
66.9	7883456	21000	2.907E-06	6.313E-09	1.867E-08
67.2	7904456	21000	2.907E-06	6.313E-09	1.867E-08
67.5	7941696	37240	2.908E-06	6.313E-09	1.868E-08
67.8	7996408	54712	2.905E-06	6.312E-09	1.867E-08
68.1	8056832	60424	2.906E-06	6.318E-09	1.865E-08
68.4	8104208	47376	2.906E-06	6.316E-09	1.864E-08
68.7	8133328	29120	2.908E-06	6.317E-09	1.864E-08
69	8183616	50288	2.909E-06	6.326E-09	1.865E-08
69.3	8204616	21000	2.906E-06	6.324E-09	1.864E-08
69.6	8225616	21000	2.908E-06	6.325E-09	1.865E-08
69.9	8285704	60088	2.908E-06	6.327E-09	1.866E-08
70.2	8306704	21000	2.907E-06	6.327E-09	1.866E-08
70.5	8332296	25592	2.906E-06	6.325E-09	1.866E-08
70.8	8380960	48664	2.905E-06	6.329E-09	1.866E-08
71.1	8401960	21000	2.904E-06	6.329E-09	1.866E-08
71.4	8422960	21000	2.905E-06	6.329E-09	1.867E-08
71.7	8476440	53480	2.897E-06	6.329E-09	1.868E-08
72	8524208	47768	2.899E-06	6.328E-09	1.867E-08
